Idade;Faixa;Genero;Etnia;PCD;Estado;UF
30;30-34;Masculino;Branca;Não;São Paulo (SP);SP
38;35-39;Masculino;Branca;Não;São Paulo (SP);SP
34;30-34;Masculino;Branca;Não;São Paulo (SP);SP
32;30-34;Masculino;Branca;Não;São Paulo (SP);SP
31;30-34;Masculino;Branca;Não;Minas Gerais (MG);MG
42;40-44;Masculino;Branca;Não;São Paulo (SP);SP
28;25-29;Masculino;Branca;Não;São Paulo (SP);SP
26;25-29;Feminino;Branca;Não;Paraná (PR);PR
28;25-29;Feminino;Branca;Não;São Paulo (SP);SP
27;25-29;Masculino;Amarela;Não;São Paulo (SP);SP
26;25-29;Masculino;Branca;Não;São Paulo (SP);SP
24;22-24;Feminino;Branca;Não;São Paulo (SP);SP
26;25-29;Masculino;Branca;Não;São Paulo (SP);SP
31;30-34;Feminino;Branca;Não;Paraná (PR);PR
24;22-24;Masculino;Parda;Não;São Paulo (SP);SP
42;40-44;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
31;30-34;Feminino;Parda;Não;Distrito Federal (DF);DF
27;25-29;Masculino;Branca;Não;Alagoas (AL);AL
25;25-29;Masculino;Branca;Não;São Paulo (SP);SP
50;50-54;Masculino;Branca;Não;Minas Gerais (MG);MG
37;35-39;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
36;35-39;Masculino;Preta;Não;Rio de Janeiro (RJ);RJ
33;30-34;Masculino;Branca;Não;São Paulo (SP);SP
31;30-34;Masculino;Branca;Não;São Paulo (SP);SP
49;45-49;Feminino;Branca;Não;Paraná (PR);PR
28;25-29;Masculino;Branca;Não;Paraná (PR);PR
31;30-34;Masculino;Parda;Não;São Paulo (SP);SP
32;30-34;Masculino;Branca;Não;Goiás (GO);GO
29;25-29;Masculino;Branca;Não;São Paulo (SP);SP
27;25-29;Feminino;Parda;Não;São Paulo (SP);SP
32;30-34;Masculino;Branca;Não;São Paulo (SP);SP
35;35-39;Masculino;Branca;Não;São Paulo (SP);SP
25;25-29;Masculino;Branca;Não;Paraná (PR);PR
25;25-29;Feminino;Parda;Não;São Paulo (SP);SP
28;25-29;Feminino;Parda;Não;São Paulo (SP);SP
29;25-29;Masculino;Branca;Não;Pernambuco (PE);PE
36;35-39;Feminino;Branca;Não;Rio Grande do Sul (RS);RS
25;25-29;Masculino;Branca;Não;São Paulo (SP);SP
34;30-34;Masculino;Branca;Não;Distrito Federal (DF);DF
25;25-29;Masculino;Parda;Não;São Paulo (SP);SP
30;30-34;Masculino;Branca;Não;Minas Gerais (MG);MG
30;30-34;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
32;30-34;Feminino;Branca;Não;Pernambuco (PE);PE
23;22-24;Masculino;Parda;Não;Ceará (CE);CE
37;35-39;Masculino;Parda;Não;;
32;30-34;Masculino;Branca;Não;São Paulo (SP);SP
29;25-29;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
26;25-29;Feminino;Branca;Não;São Paulo (SP);SP
38;35-39;Masculino;Parda;Não;Goiás (GO);GO
27;25-29;Masculino;Branca;Não;Goiás (GO);GO
28;25-29;Masculino;Branca;Não;Distrito Federal (DF);DF
29;25-29;Feminino;Branca;Não;São Paulo (SP);SP
30;30-34;Masculino;Branca;Não;Minas Gerais (MG);MG
32;30-34;Masculino;Branca;Não;São Paulo (SP);SP
28;25-29;Masculino;Parda;Não;São Paulo (SP);SP
23;22-24;Masculino;Branca;Não;São Paulo (SP);SP
27;25-29;Masculino;Branca;Não;São Paulo (SP);SP
41;40-44;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
30;30-34;Feminino;Parda;Não;São Paulo (SP);SP
35;35-39;Feminino;Branca;Não;São Paulo (SP);SP
29;25-29;Feminino;Branca;Não;São Paulo (SP);SP
45;45-49;Masculino;Branca;Não;Alagoas (AL);AL
23;22-24;Masculino;Branca;Não;Bahia (BA);BA
52;50-54;Masculino;Branca;Não;Bahia (BA);BA
45;45-49;Masculino;Branca;Não;São Paulo (SP);SP
42;40-44;Feminino;Parda;Não;Minas Gerais (MG);MG
45;45-49;Masculino;Branca;Não;;
37;35-39;Masculino;Branca;Não;Pernambuco (PE);PE
36;35-39;Feminino;Branca;Não;Rio de Janeiro (RJ);RJ
23;22-24;Masculino;Branca;Não;Maranhão (MA);MA
24;22-24;Feminino;Parda;Não;Rio de Janeiro (RJ);RJ
31;30-34;Masculino;Branca;Não;São Paulo (SP);SP
33;30-34;Masculino;Branca;Não;São Paulo (SP);SP
35;35-39;Masculino;Parda;Não;Alagoas (AL);AL
28;25-29;Feminino;Branca;Não;São Paulo (SP);SP
23;22-24;Masculino;Parda;Não;São Paulo (SP);SP
39;35-39;Feminino;Preta;Não;Minas Gerais (MG);MG
24;22-24;Masculino;Parda;Não;São Paulo (SP);SP
36;35-39;Masculino;Parda;Não;Paraíba (PB);PB
34;30-34;Masculino;Branca;Não;São Paulo (SP);SP
19;17-21;Feminino;Branca;Não;Paraná (PR);PR
40;40-44;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
24;22-24;Masculino;Parda;Não;Minas Gerais (MG);MG
29;25-29;Feminino;Branca;Não;;
35;35-39;Masculino;Branca;Não;Paraná (PR);PR
26;25-29;Masculino;Branca;Não;Goiás (GO);GO
25;25-29;Masculino;Branca;Não;São Paulo (SP);SP
33;30-34;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
37;35-39;Masculino;Parda;Não;Rio de Janeiro (RJ);RJ
32;30-34;Feminino;Parda;Não;Alagoas (AL);AL
28;25-29;Masculino;Branca;Não;Paraná (PR);PR
42;40-44;Masculino;Branca;Não;São Paulo (SP);SP
22;22-24;Masculino;Preta;Prefiro não informar;Paraíba (PB);PB
46;45-49;Masculino;Branca;Não;Minas Gerais (MG);MG
41;40-44;Masculino;Parda;Sim;Ceará (CE);CE
28;25-29;Masculino;Branca;Não;São Paulo (SP);SP
27;25-29;Masculino;Branca;Não;Rio Grande do Norte (RN);RN
24;22-24;Masculino;Parda;Não;São Paulo (SP);SP
30;30-34;Masculino;Parda;Não;São Paulo (SP);SP
34;30-34;Masculino;Parda;Não;Rio de Janeiro (RJ);RJ
31;30-34;Masculino;Branca;Não;Santa Catarina (SC);SC
26;25-29;Feminino;Parda;Não;São Paulo (SP);SP
37;35-39;Masculino;Branca;Não;Santa Catarina (SC);SC
27;25-29;Masculino;Branca;Não;São Paulo (SP);SP
49;45-49;Masculino;Branca;Não;Pernambuco (PE);PE
27;25-29;Masculino;Branca;Não;São Paulo (SP);SP
32;30-34;Masculino;Branca;Não;Minas Gerais (MG);MG
20;17-21;Masculino;Branca;Não;Pernambuco (PE);PE
20;17-21;Masculino;Branca;Não;Paraíba (PB);PB
35;35-39;Masculino;Branca;Não;Pernambuco (PE);PE
26;25-29;Masculino;Preta;Não;Ceará (CE);CE
22;22-24;Masculino;Parda;Não;Pará (PA);PA
53;50-54;Masculino;Branca;Não;Paraná (PR);PR
24;22-24;Masculino;Parda;Não;São Paulo (SP);SP
45;45-49;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
32;30-34;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
24;22-24;Masculino;Branca;Não;São Paulo (SP);SP
27;25-29;Masculino;Branca;Não;São Paulo (SP);SP
36;35-39;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
32;30-34;Masculino;Branca;Não;São Paulo (SP);SP
38;35-39;Feminino;Branca;Não;São Paulo (SP);SP
39;35-39;Feminino;Branca;Sim;;
27;25-29;Masculino;Prefiro não informar;Não;São Paulo (SP);SP
26;25-29;Feminino;Branca;Não;Minas Gerais (MG);MG
35;35-39;Masculino;Branca;Não;Paraná (PR);PR
28;25-29;Masculino;Parda;Não;Minas Gerais (MG);MG
30;30-34;Masculino;Branca;Não;Santa Catarina (SC);SC
37;35-39;Masculino;Parda;Não;Paraná (PR);PR
44;40-44;Masculino;Branca;Não;Goiás (GO);GO
29;25-29;Feminino;Parda;Não;Minas Gerais (MG);MG
30;30-34;Masculino;Branca;Não;Distrito Federal (DF);DF
36;35-39;Masculino;Branca;Não;Alagoas (AL);AL
27;25-29;Masculino;Branca;Não;Minas Gerais (MG);MG
20;17-21;Masculino;Parda;Não;Bahia (BA);BA
29;25-29;Masculino;Parda;Não;Paraná (PR);PR
24;22-24;Masculino;Branca;Não;Mato Grosso (MT);MT
25;25-29;Masculino;Amarela;Não;São Paulo (SP);SP
41;40-44;Masculino;Parda;Não;Minas Gerais (MG);MG
29;25-29;Masculino;Parda;Não;Bahia (BA);BA
28;25-29;Masculino;Branca;Não;São Paulo (SP);SP
25;25-29;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
24;22-24;Masculino;Branca;Não;Minas Gerais (MG);MG
28;25-29;Feminino;Branca;Não;São Paulo (SP);SP
26;25-29;Feminino;Branca;Não;Minas Gerais (MG);MG
32;30-34;Masculino;Branca;Não;Paraná (PR);PR
41;40-44;Feminino;Branca;Não;São Paulo (SP);SP
33;30-34;Masculino;Branca;Não;São Paulo (SP);SP
22;22-24;Masculino;Parda;Não;São Paulo (SP);SP
29;25-29;Masculino;Preta;Não;São Paulo (SP);SP
29;25-29;Masculino;Branca;Não;São Paulo (SP);SP
29;25-29;Feminino;Parda;Não;São Paulo (SP);SP
23;22-24;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
30;30-34;Feminino;Parda;Não;São Paulo (SP);SP
25;25-29;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
30;30-34;Masculino;Parda;Não;Rio de Janeiro (RJ);RJ
28;25-29;Masculino;Branca;Não;Santa Catarina (SC);SC
30;30-34;Feminino;Branca;Não;São Paulo (SP);SP
28;25-29;Masculino;Branca;Não;São Paulo (SP);SP
31;30-34;Masculino;Branca;Não;Minas Gerais (MG);MG
25;25-29;Feminino;Branca;Não;Rio de Janeiro (RJ);RJ
26;25-29;Feminino;Branca;Não;Paraná (PR);PR
29;25-29;Masculino;Branca;Não;São Paulo (SP);SP
21;17-21;Masculino;Branca;Não;Minas Gerais (MG);MG
26;25-29;Masculino;Preta;Não;São Paulo (SP);SP
34;30-34;Feminino;Parda;Não;São Paulo (SP);SP
43;40-44;Masculino;Branca;Não;Minas Gerais (MG);MG
29;25-29;Feminino;Amarela;Não;São Paulo (SP);SP
26;25-29;Feminino;Parda;Não;Goiás (GO);GO
32;30-34;Feminino;Branca;Não;Sergipe (SE);SE
29;25-29;Masculino;Branca;Não;São Paulo (SP);SP
26;25-29;Masculino;Branca;Não;São Paulo (SP);SP
31;30-34;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
24;22-24;Feminino;Parda;Não;Rio de Janeiro (RJ);RJ
47;45-49;Masculino;Branca;Não;São Paulo (SP);SP
34;30-34;Masculino;Branca;Não;Bahia (BA);BA
28;25-29;Masculino;Branca;Não;São Paulo (SP);SP
33;30-34;Masculino;Branca;Não;Minas Gerais (MG);MG
29;25-29;Feminino;Branca;Não;São Paulo (SP);SP
54;50-54;Masculino;Branca;Não;São Paulo (SP);SP
38;35-39;Masculino;Branca;Não;São Paulo (SP);SP
30;30-34;Masculino;Amarela;Não;São Paulo (SP);SP
27;25-29;Masculino;Branca;Não;São Paulo (SP);SP
30;30-34;Masculino;Branca;Não;São Paulo (SP);SP
27;25-29;Masculino;Branca;Não;Santa Catarina (SC);SC
41;40-44;Masculino;Branca;Não;Bahia (BA);BA
31;30-34;Masculino;Parda;Não;Rio de Janeiro (RJ);RJ
40;40-44;Masculino;Parda;Não;Minas Gerais (MG);MG
38;35-39;Feminino;Amarela;Não;São Paulo (SP);SP
;55+;Feminino;Branca;Não;Distrito Federal (DF);DF
21;17-21;Masculino;Parda;Não;Pernambuco (PE);PE
22;22-24;Masculino;Preta;Não;São Paulo (SP);SP
31;30-34;Masculino;Branca;Não;Goiás (GO);GO
26;25-29;Masculino;Branca;Não;Paraná (PR);PR
34;30-34;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
40;40-44;Masculino;Parda;Não;Espírito Santo (ES);ES
30;30-34;Masculino;Branca;Não;São Paulo (SP);SP
28;25-29;Feminino;Branca;Não;São Paulo (SP);SP
30;30-34;Masculino;Parda;Não;Minas Gerais (MG);MG
30;30-34;Masculino;Branca;Não;Piauí (PI);PI
25;25-29;Masculino;Branca;Não;São Paulo (SP);SP
23;22-24;Masculino;Parda;Não;Pará (PA);PA
27;25-29;Masculino;Branca;Não;Piauí (PI);PI
33;30-34;Masculino;Branca;Não;São Paulo (SP);SP
25;25-29;Feminino;Branca;Não;Minas Gerais (MG);MG
22;22-24;Masculino;Branca;Não;Minas Gerais (MG);MG
28;25-29;Masculino;Branca;Não;São Paulo (SP);SP
28;25-29;Feminino;Branca;Não;São Paulo (SP);SP
40;40-44;Masculino;Parda;Não;Ceará (CE);CE
24;22-24;Masculino;Branca;Não;Paraná (PR);PR
26;25-29;Masculino;Amarela;Não;São Paulo (SP);SP
43;40-44;Masculino;Branca;Não;São Paulo (SP);SP
24;22-24;Feminino;Branca;Não;Santa Catarina (SC);SC
29;25-29;Feminino;Parda;Não;Santa Catarina (SC);SC
30;30-34;Masculino;Branca;Não;São Paulo (SP);SP
26;25-29;Feminino;Branca;Não;São Paulo (SP);SP
54;50-54;Feminino;Branca;Não;São Paulo (SP);SP
25;25-29;Feminino;Parda;Não;Sergipe (SE);SE
42;40-44;Masculino;Amarela;Não;Paraná (PR);PR
23;22-24;Masculino;Preta;Não;Bahia (BA);BA
21;17-21;Masculino;Branca;Não;São Paulo (SP);SP
33;30-34;Masculino;Branca;Não;Minas Gerais (MG);MG
30;30-34;Feminino;Branca;Não;São Paulo (SP);SP
33;30-34;Masculino;Branca;Não;São Paulo (SP);SP
41;40-44;Feminino;Parda;Não;Pará (PA);PA
28;25-29;Feminino;Parda;Não;Ceará (CE);CE
25;25-29;Masculino;Branca;Não;São Paulo (SP);SP
25;25-29;Masculino;Preta;Não;Rio de Janeiro (RJ);RJ
22;22-24;Masculino;Branca;Não;São Paulo (SP);SP
36;35-39;Feminino;Parda;Não;Minas Gerais (MG);MG
26;25-29;Masculino;Amarela;Não;São Paulo (SP);SP
34;30-34;Masculino;Branca;Não;Piauí (PI);PI
31;30-34;Masculino;Amarela;Não;Pernambuco (PE);PE
33;30-34;Feminino;Parda;Não;Minas Gerais (MG);MG
44;40-44;Masculino;Branca;Não;São Paulo (SP);SP
25;25-29;Masculino;Branca;Não;São Paulo (SP);SP
24;22-24;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
32;30-34;Feminino;Branca;Não;São Paulo (SP);SP
32;30-34;Masculino;Amarela;Não;São Paulo (SP);SP
34;30-34;Masculino;Parda;Não;São Paulo (SP);SP
29;25-29;Feminino;Parda;Não;Pará (PA);PA
36;35-39;Masculino;Branca;Não;Paraná (PR);PR
24;22-24;Masculino;Parda;Não;São Paulo (SP);SP
26;25-29;Masculino;Parda;Não;Espírito Santo (ES);ES
27;25-29;Masculino;Branca;Não;São Paulo (SP);SP
31;30-34;Masculino;Branca;Não;Alagoas (AL);AL
39;35-39;Masculino;Parda;Não;São Paulo (SP);SP
27;25-29;Masculino;Branca;Não;Rio Grande do Norte (RN);RN
32;30-34;Masculino;Branca;Não;São Paulo (SP);SP
24;22-24;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
42;40-44;Feminino;Parda;Não;Rio de Janeiro (RJ);RJ
29;25-29;Masculino;Parda;Não;Bahia (BA);BA
;55+;Masculino;Branca;Não;Paraná (PR);PR
39;35-39;Masculino;Branca;Não;São Paulo (SP);SP
28;25-29;Masculino;Parda;Não;São Paulo (SP);SP
51;50-54;Masculino;Branca;Não;Santa Catarina (SC);SC
27;25-29;Masculino;Branca;Não;Mato Grosso (MT);MT
27;25-29;Masculino;Parda;Não;São Paulo (SP);SP
22;22-24;Masculino;Parda;Não;Minas Gerais (MG);MG
28;25-29;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
27;25-29;Masculino;Branca;Não;São Paulo (SP);SP
25;25-29;Masculino;Parda;Não;Minas Gerais (MG);MG
28;25-29;Masculino;Branca;Não;;
22;22-24;Masculino;Branca;Não;São Paulo (SP);SP
29;25-29;Masculino;Preta;Não;Paraná (PR);PR
29;25-29;Masculino;Branca;Não;São Paulo (SP);SP
32;30-34;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
31;30-34;Feminino;Amarela;Não;São Paulo (SP);SP
24;22-24;Masculino;Parda;Não;Ceará (CE);CE
23;22-24;Masculino;Branca;Não;São Paulo (SP);SP
28;25-29;Masculino;Branca;Não;Ceará (CE);CE
37;35-39;Masculino;Amarela;Não;São Paulo (SP);SP
28;25-29;Masculino;Parda;Não;Espírito Santo (ES);ES
20;17-21;Masculino;Parda;Não;Maranhão (MA);MA
24;22-24;Feminino;Branca;Não;Minas Gerais (MG);MG
34;30-34;Feminino;Branca;Não;São Paulo (SP);SP
36;35-39;Masculino;Preta;Não;São Paulo (SP);SP
38;35-39;Masculino;Amarela;Não;São Paulo (SP);SP
47;45-49;Feminino;Branca;Não;Rio Grande do Sul (RS);RS
26;25-29;Masculino;Branca;Não;São Paulo (SP);SP
43;40-44;Masculino;Branca;Não;São Paulo (SP);SP
34;30-34;Feminino;Parda;Não;São Paulo (SP);SP
27;25-29;Masculino;Parda;Não;Bahia (BA);BA
25;25-29;Masculino;Branca;Não;São Paulo (SP);SP
25;25-29;Feminino;Parda;Não;Santa Catarina (SC);SC
21;17-21;Masculino;Branca;Não;São Paulo (SP);SP
28;25-29;Feminino;Parda;Não;Sergipe (SE);SE
37;35-39;Masculino;Parda;Não;;
31;30-34;Masculino;Parda;Não;Paraná (PR);PR
27;25-29;Masculino;Amarela;Não;Bahia (BA);BA
48;45-49;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
37;35-39;Masculino;Branca;Não;São Paulo (SP);SP
27;25-29;Masculino;Preta;Não;São Paulo (SP);SP
27;25-29;Feminino;Branca;Não;Minas Gerais (MG);MG
29;25-29;Masculino;Branca;Não;Mato Grosso (MT);MT
34;30-34;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
22;22-24;Masculino;Branca;Não;São Paulo (SP);SP
28;25-29;Masculino;Parda;Não;Alagoas (AL);AL
27;25-29;Feminino;Branca;Não;São Paulo (SP);SP
28;25-29;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
38;35-39;Feminino;Preta;Não;Minas Gerais (MG);MG
27;25-29;Feminino;Amarela;Não;São Paulo (SP);SP
50;50-54;Masculino;Branca;Não;Paraná (PR);PR
28;25-29;Masculino;Branca;Não;Paraná (PR);PR
26;25-29;Feminino;Branca;Não;São Paulo (SP);SP
45;45-49;Masculino;Preta;Não;;
37;35-39;Masculino;Parda;Não;Minas Gerais (MG);MG
32;30-34;Masculino;Branca;Não;São Paulo (SP);SP
28;25-29;Feminino;Branca;Não;São Paulo (SP);SP
27;25-29;Masculino;Amarela;Não;Bahia (BA);BA
26;25-29;Feminino;Branca;Não;Rio Grande do Sul (RS);RS
26;25-29;Masculino;Parda;Não;Minas Gerais (MG);MG
33;30-34;Feminino;Parda;Não;São Paulo (SP);SP
27;25-29;Masculino;Branca;Não;São Paulo (SP);SP
27;25-29;Masculino;Branca;Não;Minas Gerais (MG);MG
24;22-24;Masculino;Branca;Não;São Paulo (SP);SP
29;25-29;Feminino;Branca;Não;São Paulo (SP);SP
29;25-29;Masculino;Branca;Prefiro não informar;Goiás (GO);GO
32;30-34;Feminino;Branca;Não;Rio de Janeiro (RJ);RJ
27;25-29;Masculino;Parda;Não;São Paulo (SP);SP
38;35-39;Masculino;Parda;Não;Minas Gerais (MG);MG
24;22-24;Masculino;Branca;Não;Espírito Santo (ES);ES
22;22-24;Masculino;Branca;Não;Santa Catarina (SC);SC
27;25-29;Feminino;Branca;Não;Pernambuco (PE);PE
37;35-39;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
25;25-29;Masculino;Branca;Não;Amazonas (AM);AM
29;25-29;Masculino;Branca;Não;Minas Gerais (MG);MG
23;22-24;Masculino;Branca;Não;São Paulo (SP);SP
34;30-34;Masculino;Branca;Não;Minas Gerais (MG);MG
39;35-39;Masculino;Parda;Não;Bahia (BA);BA
29;25-29;Masculino;Branca;Não;São Paulo (SP);SP
33;30-34;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
36;35-39;Masculino;Branca;Não;São Paulo (SP);SP
38;35-39;Masculino;Branca;Não;;
30;30-34;Masculino;Branca;Não;Minas Gerais (MG);MG
35;35-39;Masculino;Branca;Não;São Paulo (SP);SP
25;25-29;Masculino;Branca;Não;Santa Catarina (SC);SC
37;35-39;Masculino;Branca;Não;São Paulo (SP);SP
50;50-54;Masculino;Preta;Não;Rio Grande do Sul (RS);RS
26;25-29;Masculino;Branca;Não;São Paulo (SP);SP
27;25-29;Masculino;Branca;Não;São Paulo (SP);SP
29;25-29;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
36;35-39;Masculino;Parda;Não;São Paulo (SP);SP
25;25-29;Masculino;Branca;Não;Pernambuco (PE);PE
25;25-29;Masculino;Parda;Não;Distrito Federal (DF);DF
31;30-34;Masculino;Branca;Não;São Paulo (SP);SP
32;30-34;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
49;45-49;Masculino;Parda;Não;Ceará (CE);CE
26;25-29;Masculino;Branca;Não;Ceará (CE);CE
23;22-24;Masculino;Parda;Não;Rio de Janeiro (RJ);RJ
32;30-34;Masculino;Parda;Não;Sergipe (SE);SE
37;35-39;Masculino;Branca;Não;São Paulo (SP);SP
24;22-24;Masculino;Branca;Não;Distrito Federal (DF);DF
26;25-29;Masculino;Branca;Não;São Paulo (SP);SP
26;25-29;Masculino;Branca;Não;São Paulo (SP);SP
30;30-34;Masculino;Branca;Não;Rio Grande do Norte (RN);RN
39;35-39;Masculino;Branca;Não;Distrito Federal (DF);DF
25;25-29;Feminino;Branca;Não;São Paulo (SP);SP
26;25-29;Masculino;Branca;Não;São Paulo (SP);SP
47;45-49;Masculino;Parda;Não;Rio de Janeiro (RJ);RJ
29;25-29;Masculino;Outra;Não;São Paulo (SP);SP
24;22-24;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
45;45-49;Masculino;Preta;Sim;;
37;35-39;Masculino;Branca;Não;São Paulo (SP);SP
28;25-29;Masculino;Branca;Não;São Paulo (SP);SP
32;30-34;Masculino;Parda;Não;Minas Gerais (MG);MG
26;25-29;Masculino;Parda;Não;São Paulo (SP);SP
25;25-29;Masculino;Branca;Não;Espírito Santo (ES);ES
25;25-29;Feminino;Parda;Não;Minas Gerais (MG);MG
29;25-29;Masculino;Branca;Não;Paraná (PR);PR
27;25-29;Feminino;Branca;Não;São Paulo (SP);SP
30;30-34;Masculino;Branca;Não;Santa Catarina (SC);SC
23;22-24;Masculino;Parda;Não;Mato Grosso (MT);MT
28;25-29;Masculino;Branca;Não;São Paulo (SP);SP
22;22-24;Masculino;Branca;Não;Minas Gerais (MG);MG
37;35-39;Feminino;Parda;Não;Bahia (BA);BA
37;35-39;Masculino;Parda;Não;São Paulo (SP);SP
39;35-39;Masculino;Branca;Não;Paraná (PR);PR
39;35-39;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
27;25-29;Feminino;Preta;Não;Rio de Janeiro (RJ);RJ
19;17-21;Masculino;Branca;Não;São Paulo (SP);SP
;55+;Masculino;Branca;Não;São Paulo (SP);SP
37;35-39;Masculino;Branca;Não;Distrito Federal (DF);DF
47;45-49;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
23;22-24;Masculino;Parda;Não;São Paulo (SP);SP
37;35-39;Masculino;Branca;Não;Paraná (PR);PR
33;30-34;Masculino;Preta;Não;São Paulo (SP);SP
25;25-29;Feminino;Branca;Não;Paraná (PR);PR
34;30-34;Feminino;Branca;Não;Goiás (GO);GO
42;40-44;Masculino;Parda;Não;Distrito Federal (DF);DF
20;17-21;Masculino;Branca;Não;São Paulo (SP);SP
34;30-34;Masculino;Branca;Não;São Paulo (SP);SP
38;35-39;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
24;22-24;Masculino;Parda;Não;Espírito Santo (ES);ES
28;25-29;Masculino;Parda;Não;Rio Grande do Sul (RS);RS
39;35-39;Masculino;Branca;Não;São Paulo (SP);SP
21;17-21;Feminino;Branca;Não;Rio Grande do Sul (RS);RS
26;25-29;Masculino;Preta;Não;Santa Catarina (SC);SC
40;40-44;Masculino;Branca;Não;Paraná (PR);PR
30;30-34;Masculino;Parda;Não;São Paulo (SP);SP
28;25-29;Masculino;Parda;Não;Rio Grande do Norte (RN);RN
26;25-29;Masculino;Branca;Não;São Paulo (SP);SP
24;22-24;Masculino;Branca;Não;Bahia (BA);BA
23;22-24;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
32;30-34;Masculino;Parda;Não;São Paulo (SP);SP
27;25-29;Feminino;Branca;Não;São Paulo (SP);SP
27;25-29;Feminino;Branca;Não;São Paulo (SP);SP
28;25-29;Masculino;Parda;Não;Amazonas (AM);AM
25;25-29;Masculino;Branca;Não;São Paulo (SP);SP
28;25-29;Masculino;Parda;Não;Pernambuco (PE);PE
24;22-24;Masculino;Parda;Não;Rio de Janeiro (RJ);RJ
21;17-21;Masculino;Branca;Não;São Paulo (SP);SP
28;25-29;Feminino;Branca;Não;Distrito Federal (DF);DF
31;30-34;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
39;35-39;Feminino;Parda;Não;São Paulo (SP);SP
37;35-39;Masculino;Parda;Não;Rio Grande do Norte (RN);RN
23;22-24;Masculino;Branca;Não;;
29;25-29;Masculino;Preta;Não;São Paulo (SP);SP
27;25-29;Masculino;Branca;Não;Minas Gerais (MG);MG
39;35-39;Feminino;Branca;Não;Paraná (PR);PR
18;17-21;Masculino;Branca;Não;Pará (PA);PA
39;35-39;Masculino;Branca;Não;Santa Catarina (SC);SC
44;40-44;Masculino;Branca;Não;;
26;25-29;Masculino;Branca;Não;São Paulo (SP);SP
38;35-39;Masculino;Branca;Não;São Paulo (SP);SP
24;22-24;Feminino;Branca;Não;Bahia (BA);BA
20;17-21;Masculino;Preta;Não;São Paulo (SP);SP
28;25-29;Masculino;Branca;Não;São Paulo (SP);SP
33;30-34;Masculino;Parda;Não;São Paulo (SP);SP
24;22-24;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
39;35-39;Masculino;Parda;Não;Distrito Federal (DF);DF
24;22-24;Masculino;Parda;Não;São Paulo (SP);SP
44;40-44;Masculino;Branca;Não;São Paulo (SP);SP
28;25-29;Masculino;Branca;Não;São Paulo (SP);SP
31;30-34;Masculino;Parda;Não;Distrito Federal (DF);DF
24;22-24;Masculino;Branca;Não;São Paulo (SP);SP
27;25-29;Masculino;Parda;Não;Minas Gerais (MG);MG
32;30-34;Masculino;Branca;Não;São Paulo (SP);SP
24;22-24;Masculino;Branca;Não;Rio de Janeiro (RJ);RJ
30;30-34;Masculino;Branca;Não;São Paulo (SP);SP
40;40-44;Masculino;Branca;Não;São Paulo (SP);SP
28;25-29;Masculino;Branca;Não;Pernambuco (PE);PE
32;30-34;Masculino;Parda;Não;São Paulo (SP);SP
29;25-29;Masculino;Branca;Não;Rio Grande do Sul (RS);RS
39;35-39;Masculino;Parda;Não;Minas Gerais (MG);MG
28;25-29;Masculino;Branca;Não;Pernambuco (PE);PE
34;30-34;Feminino;Branca;Não;São Paulo (SP);SP
33;30-34;Masculino;Branca;Não;Santa Catarina (SC);SC
28;25-29;Masculino;Parda;Não;Distrito Federal (DF);DF
26;25-29;Masculino;Branca;Não;Santa Catarina (SC);SC
35;35-39;Masculino;Parda;Não;Rio de Janeiro (RJ);RJ
28;25-29;Masculino;Branca;Não;Bahia (BA);BA
28;25-29;Feminino;Branca;Não;Paraná (PR);PR
27;25-29;Masculino;Branca;Não;São Paulo (SP);SP
